"filename", "language", "JavaScript", "JSON", "YAML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\CVSection.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\Drawer.jsx", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\DrawerContentFooterLayout.jsx", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\Page.jsx", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\SubSection.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\badges.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 31, 186
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\cvDetails.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 7, 137
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\icons.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 5, 134
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\pages.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 3, 70
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\professionalInterests.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\projects.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 3, 69
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\socials.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\techStack.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\index.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\AboutPage.jsx", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\ContactPage.jsx", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\ProjectsPage.jsx", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\ResumePage.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\FieldDayPage.jsx", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\GD50Page.jsx", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\OotRetexturePage.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\ToyDrivePage.jsx", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\tailwind.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 1724, 18360, 45, 74, 22, 19, 9, 215, 20468
