Date : 2024-01-21 02:26:21
Directory : c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io
Total : 64 files,  20244 codes, 9 comments, 215 blanks, all 20468 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\Footer.jsx                        | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\Profile.jsx                       | JavaScript |         24 |          0 |          2 |         26 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\about\FeaturedProjectsSection.jsx | JavaScript |         31 |          0 |          2 |         33 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\about\TechStackSection.jsx        | JavaScript |         53 |          0 |          2 |         55 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\about\WelcomeSection.jsx          | JavaScript |         42 |          0 |          2 |         44 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\about\WhatIDoSection.jsx          | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\resume\CV.jsx                     | JavaScript |         44 |          0 |          4 |         48 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\resume\ContactSection.jsx         | JavaScript |         52 |          0 |          3 |         55 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\resume\EducationSection.jsx       | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\resume\ExperienceSection.jsx      | JavaScript |         27 |          0 |          2 |         29 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\resume\ProjectsSection.jsx        | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\content\resume\SkillsSection.jsx          | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\CVSection.jsx                      | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\Drawer.jsx                         | JavaScript |         51 |          0 |          5 |         56 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\DrawerContentFooterLayout.jsx      | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\Page.jsx                           | JavaScript |         13 |          0 |          1 |         14 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\components\layout\SubSection.jsx                     | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\badges.js                                       | JavaScript |        155 |          0 |         31 |        186 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\cvDetails.js                                    | JavaScript |        130 |          0 |          7 |        137 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\icons.js                                        | JavaScript |        129 |          0 |          5 |        134 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\pages.js                                        | JavaScript |         67 |          0 |          3 |         70 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\professionalInterests.js                        | JavaScript |         31 |          0 |          2 |         33 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\projects.js                                     | JavaScript |         66 |          0 |          3 |         69 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\socials.js                                      | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\data\techStack.js                                    | JavaScript |         26 |          0 |          3 |         29 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\index.css                                            | CSS        |         22 |          0 |          5 |         27 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\index.js                                             | JavaScript |         12 |          3 |          3 |         18 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\AboutPage.jsx                                  | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\ContactPage.jsx                                | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\ProjectsPage.jsx                               | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\ResumePage.jsx                                 | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\FieldDayPage.jsx                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\GD50Page.jsx                          | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\OotRetexturePage.jsx                  | JavaScript |         25 |          0 |          2 |         27 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\pages\projects\ToyDrivePage.jsx                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\reportWebVitals.js                                   | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\src\setupTests.js                                        | JavaScript |          1 |          4 |          1 |          6 |
| c:\Users\iansk\Desktop\Git Hub\ianskelskey.github.io\tailwind.config.js                                       | JavaScript |         28 |          0 |          1 |         29 |
| Total                                                                                                         |            |     20,244 |          9 |        215 |     20,468 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
